	to_lang	title	to_id	from_id	from_title	authorid	workid	from_file	to_file	author_genre
urn:cts:greekLit:tlg0013.tlg021	eng	Hymn 21 to Apollo, Hesiod The Homeric hymns. And Homerica	urn:cts:greekLit:tlg0013.tlg021.perseus-eng2	urn:cts:greekLit:tlg0013.tlg021.perseus-grc2	Hymn 21 to Apollo, Hesiod The Homeric hymns. And Homerica	tlg0013	tlg021	tlg0013.tlg021.perseus-grc2	tlg0013.tlg021.perseus-eng2	
urn:cts:greekLit:tlg0013.tlg022	eng	Hymn 22 to Poseidon, Hesiod The Homeric hymns. And Homerica	urn:cts:greekLit:tlg0013.tlg022.perseus-eng2	urn:cts:greekLit:tlg0013.tlg022.perseus-grc2	Hymn 22 to Poseidon, Hesiod The Homeric hymns. And Homerica	tlg0013	tlg022	tlg0013.tlg022.perseus-grc2	tlg0013.tlg022.perseus-eng2	
urn:cts:greekLit:tlg0013.tlg023	eng	Hymn 23 to Zeus, Hesiod The Homeric hymns. And Homerica	urn:cts:greekLit:tlg0013.tlg023.perseus-eng2	urn:cts:greekLit:tlg0013.tlg023.perseus-grc2	Hymn 23 to Zeus, Hesiod The Homeric hymns. And Homerica	tlg0013	tlg023	tlg0013.tlg023.perseus-grc2	tlg0013.tlg023.perseus-eng2	
urn:cts:greekLit:tlg0013.tlg024	eng	"Hymn 24 to Hestia, Hesiod The Homeric hymns. And Homerica	"	urn:cts:greekLit:tlg0013.tlg024.perseus-eng2	urn:cts:greekLit:tlg0013.tlg024.perseus-grc2	"Hymn 24 to Hestia, Hesiod The Homeric hymns. And Homerica	"	tlg0013	tlg024	tlg0013.tlg024.perseus-grc2	tlg0013.tlg024.perseus-eng2	
urn:cts:greekLit:tlg0013.tlg025	eng	Hymn 25 to the Muses and Apollo, Hesiod The Homeric hymns. And Homerica	urn:cts:greekLit:tlg0013.tlg025.perseus-eng2	urn:cts:greekLit:tlg0013.tlg025.perseus-grc2	HHymn 25 to the Muses and Apollo, Hesiod The Homeric hymns. And Homerica	tlg0013	tlg025	tlg0013.tlg025.perseus-grc2	tlg0013.tlg025.perseus-eng2	
urn:cts:greekLit:tlg0013.tlg026	eng	Hymn 26 to Dionysus, Hesiod The Homeric hymns. And Homerica	urn:cts:greekLit:tlg0013.tlg026.perseus-eng2	urn:cts:greekLit:tlg0013.tlg026.perseus-grc2	Hymn 26 to Dionysus, Hesiod The Homeric hymns. And Homerica	tlg0013	tlg026	tlg0013.tlg026.perseus-grc2	tlg0013.tlg026.perseus-eng2	
urn:cts:greekLit:tlg0013.tlg027	eng	Hymn 27 to Artemis, Hesiod The Homeric hymns. And Homerica	urn:cts:greekLit:tlg0013.tlg027.perseus-eng2	urn:cts:greekLit:tlg0013.tlg027.perseus-grc2	Hymn 27 to Artemis, Hesiod The Homeric hymns. And Homerica	tlg0013	tlg027	tlg0013.tlg027.perseus-grc2	tlg0013.tlg027.perseus-eng2	
urn:cts:greekLit:tlg0013.tlg028	eng	Hymn 28 to Athena, Hesiod The Homeric hymns. And Homerica	urn:cts:greekLit:tlg0013.tlg028.perseus-eng2	urn:cts:greekLit:tlg0013.tlg028.perseus-grc2	Hymn 28 to Athena, Hesiod The Homeric hymns. And Homerica	tlg0013	tlg028	tlg0013.tlg028.perseus-grc2	tlg0013.tlg028.perseus-eng2	
urn:cts:greekLit:tlg0013.tlg029	eng	Hymn 29 to Hestia, Hesiod The Homeric hymns. And Homerica	urn:cts:greekLit:tlg0013.tlg029.perseus-eng2	urn:cts:greekLit:tlg0013.tlg029.perseus-grc2	Hymn 29 to Hestia, Hesiod The Homeric hymns. And Homerica	tlg0013	tlg029	tlg0013.tlg029.perseus-grc2	tlg0013.tlg029.perseus-eng2	
urn:cts:greekLit:tlg0013.tlg030	eng	Hymn 30 to Earth, Hesiod The Homeric hymns. And Homerica	urn:cts:greekLit:tlg0013.tlg030.perseus-eng2	urn:cts:greekLit:tlg0013.tlg030.perseus-grc2	Hymn 30 to Earth, Hesiod The Homeric hymns. And Homerica	tlg0013	tlg030	tlg0013.tlg030.perseus-grc2	tlg0013.tlg030.perseus-eng2	
urn:cts:greekLit:tlg0013.tlg031	eng	Hymn 31 to Helios, Hesiod The Homeric hymns. And Homerica	urn:cts:greekLit:tlg0013.tlg031.perseus-eng2	urn:cts:greekLit:tlg0013.tlg031.perseus-grc2	Hymn 31 to Helios, Hesiod The Homeric hymns. And Homerica	tlg0013	tlg031	tlg0013.tlg031.perseus-grc2	tlg0013.tlg031.perseus-eng2	
urn:cts:greekLit:tlg0013.tlg032	eng	Hymn 32 to Selene, Hesiod The Homeric hymns. And Homerica	urn:cts:greekLit:tlg0013.tlg032.perseus-eng2	urn:cts:greekLit:tlg0013.tlg032.perseus-grc2	Hymn 32 to Selene, Hesiod The Homeric hymns. And Homerica	tlg0013	tlg032	tlg0013.tlg032.perseus-grc2	tlg0013.tlg032.perseus-eng2	
urn:cts:greekLit:tlg0013.tlg033	eng	Hymn 33 to the Dioscuri, Hesiod The Homeric hymns. And Homerica	urn:cts:greekLit:tlg0013.tlg033.perseus-eng2	urn:cts:greekLit:tlg0013.tlg033.perseus-grc2	Hymn 33 to the Dioscuri, Hesiod The Homeric hymns. And Homerica	tlg0013	tlg033	tlg0013.tlg033.perseus-grc2	tlg0013.tlg033.perseus-eng2	
